서비스ID,서비스명,소관기관,분야,지원유형,대상 연령(최소),대상 연령(최대),청년 관련 근거,보조금24 주소
631000000121,여성장애인 가사도우미 지원,울산광역시,생활안정,기타,18,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/631000000121
631000000739,지역사회서비스 투자사업(직업능력발달서비스),울산광역시,보육·교육,이용권,14,64,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/631000000739
641000000124,경기도 부동산 중개보수 지원,경기도,생활안정,현금,19,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/641000000124
641000000140,경기여성 취업지원금 지원,경기도,고용·창업,서비스(일자리),35,59,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/641000000140
641000000159,자립준비청년 자립지원정착금 지원,경기도,생활안정,현금,16,18,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/641000000159
641000000687,중소기업 청년 노동자 지원사업,경기도,고용·창업,기타,19,39,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/641000000687
641000000699,소상공인 청년창업원스텝,경기도,고용·창업,현금,,,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/641000000699
641000000709,일자리 우수기업 인증 및 고용환경개선 지원,경기도,고용·창업,현금,,,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/641000000709
641000000858,The 경기패스,경기도,생활안정,현금,35,39,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/641000000858
642000000669,도내 대학생 장학금 지원(등록금),강원특별자치도,보육·교육,현금(장학금),,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000669
642000000682,보호아동 생활안정 지원,강원특별자치도,생활안정,현금,17,18,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000682
642000000693,도내 대학생 장학금 지원(주거비),강원특별자치도,주거·자립,현금(장학금),,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000693
642000000709,다자녀가정 대학등록금 지원,강원특별자치도,보육·교육,현금,19,24,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000709
642000000712,강원특별자치도 청년 취업준비 쿠폰 지원,강원특별자치도,고용·창업,이용권,18,45,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000712
642000000722,지역사회서비스 지원,강원특별자치도,행정·안전,기타,,64,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000722
642000000723,청년후게농 영농정착지원,강원특별자치도,농림축산어업,현금,18,45,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000723
642000000731,여성구직활동 지원,강원특별자치도,고용·창업,이용권,40,59,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000731
642000000737,도내 대학생 장학금 지원(생활비),강원특별자치도,생활안정,현금(장학금),18,34,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/642000000737
643000000102,충북인재 장학금 지원(성적),충청북도,보육·교육,현금(장학금),,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/643000000102
643000000111,충북행복결혼공제,충청북도,생활안정,기타,19,39,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/643000000111
643000000116,한국장학재단 학자금대출 발생 이자액 지원,충청북도,생활안정,현금(융자),19,40,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/643000000116
643000000124,충북인재 장학금 지원(특기),충청북도,보육·교육,현금(장학금),,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/643000000124
643000000126,충북인재 장학금 지원(곰두리),충청북도,보육·교육,현금(장학금),6,24,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/643000000126
643000000746,충북 장애인  평생교육이용권,충청북도,보육·교육,이용권,19,36,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/643000000746
643000000755,희망디딤돌 충북센터(자립준비청년 주거서비스 지원),충청북도,주거·자립,기타(상담)||시설이용,,120,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/643000000755
644000000181,새마을지도자 자녀장학금 지원,충청남도,보육·교육,현금(장학금),,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/644000000181
644000000187,다자녀 맘 산후 건강관리 지원,충청남도,생활안정,현금,18,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/644000000187
644000000240,2024년 충청남도 청년 주택임차보증금 이자 지원사업(연장 신청),충청남도,주거·자립,현금(융자),18,40,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/644000000240
644000000853,2026년 상반기 충청남도 청년 주택임차보증금 이자 지원(2025년 선정자 대상),충청남도,주거·자립,현금,18,40,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/644000000853
644000000856,충남예술인지원,충청남도,문화·환경,기타,,39,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/644000000856
644000000859,청년농업인 스마트팜 기술연수,충청남도,농림축산어업,기타(교육),18,45,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/644000000859
644000000860,농어촌 진흥기금 이차보전(융자),충청남도,농림축산어업,현금(융자),18,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/644000000860
645000000147,전북특별자치도 농업 농촌 공익적 가치 지원(농민 공익수당),전북특별자치도,농림축산어업,현금,18,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/645000000147
